Feature,P-value
Relay output (solenoid valve),1.142478812181125e-34
CWFV3,0.0011419041577924124
Relay output (Heater),0.004283716938991666
H3,1.8396053543079946e-19
H2,1.6399250250575925e-55
H1,1.639925025846365e-55
External output,7.702963649066898e-19
CnZ1,1.8396053547995624e-19
CnH,1.8396053548335214e-19
FMo1 max. speed,0.00922845053041502
ThoR3,2.511413935462708e-07
ThoR4,0.039587428581588056
ThoD1,1.2979565120905405e-09
ThoC1,0.009631885363043874
ThoW1,0.041893722601633834
ThoW2,0.0032129154961234004
ThoM1,2.706156396487182e-21
ThoG1,1.9861659372798264e-07
ThoG3,2.405156880284805e-09
Tht1,0.02699173768404028
HP1,4.254230390673461e-05
LP1,0.0404527968078926
Discharge pressure 1 saturated temp,5.86480123581572e-14
Suction pressure 1 saturated temp,0.045439778991493956
CWFV3.1,4.180387272844681e-06
